Country,Country_mod,Area_km2
The Bahamas,Bahamas,13943
The Gambia,The Gambia,11295
Togo,Togo,56785
Tokelau,Tokelau,12
Tonga,Tonga,747
Trinidad and Tobago,Trinidad and Tobago,5130
Tristan da Cunha,Tristan da Cunha,98
Tunisia,Tunisia,163610
Turkey,Turkey,783562
Turkmenistan,Turkmenistan,488100
Turks and Caicos Islands,Turks and Caicos Islands,948
Tuvalu,Tuvalu,26
Uganda,Uganda,241551
Ukraine,Ukraine,603628
United Arab Emirates,United Arab Emirates,83600
United kingdom,United Kingdom,242500
United States (contiguous),United States (contiguous),8080462
United States,United States,9833517
Uruguay,Uruguay,176215
Uzbekistan,Uzbekistan,447400
Vanuatu,Vanuatu,12189
Vatican City,Vatican,0.44
Venezuela,Venezuela,912050
Vietnam,Vietnam,331689
Virgin Islands U.S.,Virgin Islands U.S.,347
Wallis and Futuna,Wallis and Futuna Islands,142
Western Sahara,Western Sahara,266000
Yemen,Yemen,527968
Zambia,Zambia,752618
Zimbabwe,Zimbabwe,390757
